"Step","avid-monkey-10 - global_step","avid-monkey-10 - global_step__MIN","avid-monkey-10 - global_step__MAX","rose-cosmos-9 - global_step","rose-cosmos-9 - global_step__MIN","rose-cosmos-9 - global_step__MAX","noble-bee-8 - global_step","noble-bee-8 - global_step__MIN","noble-bee-8 - global_step__MAX","ruby-bee-6 - global_step","ruby-bee-6 - global_step__MIN","ruby-bee-6 - global_step__MAX","eager-snow-5 - global_step","eager-snow-5 - global_step__MIN","eager-snow-5 - global_step__MAX","comfy-terrain-4 - global_step","comfy-terrain-4 - global_step__MIN","comfy-terrain-4 - global_step__MAX","jumping-dew-3 - global_step","jumping-dew-3 - global_step__MIN","jumping-dew-3 - global_step__MAX","solar-fire-2 - global_step","solar-fire-2 - global_step__MIN","solar-fire-2 - global_step__MAX"
"197","25000","25000","25000","","","","21000","21000","21000","10062","10062","10062","","","","12188","12188","12188","9547","9547","9547","12891","12891","12891"
"198","25000","25000","25000","9000","9000","9000","21000","21000","21000","","","","","","","12697","12697","12697","","","","","",""
"199","25000","25000","25000","","","","21000","21000","21000","10062","10062","10062","9957","9957","9957","12697","12697","12697","10000","10000","10000","13000","13000","13000"
"200","25000","25000","25000","","","","21000","21000","21000","","","","","","","12697","12697","12697","10000","10000","10000","13000","13000","13000"
"201","25000","25000","25000","","","","21000","21000","21000","","","","","","","12697","12697","12697","","","","","",""
"202","25000","25000","25000","","","","21000","21000","21000","10062","10062","10062","9957","9957","9957","12697","12697","12697","","","","","",""
"203","25000","25000","25000","9000","9000","9000","22000","22000","22000","","","","","","","12697","12697","12697","","","","13000","13000","13000"
"204","25000","25000","25000","9000","9000","9000","22000","22000","22000","","","","","","","","","","10000","10000","10000","","",""
"205","25000","25000","25000","","","","22000","22000","22000","","","","","","","","","","","","","13709","13709","13709"
"206","25000","25000","25000","","","","22528","22528","22528","","","","","","","13000","13000","13000","","","","13709","13709","13709"
"207","26000","26000","26000","9500","9500","9500","22528","22528","22528","","","","","","","13000","13000","13000","","","","","",""
"208","26000","26000","26000","9500","9500","9500","22528","22528","22528","","","","","","","13000","13000","13000","","","","","",""
"209","26000","26000","26000","9500","9500","9500","22528","22528","22528","","","","","","","13000","13000","13000","10339","10339","10339","13709","13709","13709"
"210","26624","26624","26624","9500","9500","9500","23000","23000","23000","","","","10000","10000","10000","13000","13000","13000","","","","13709","13709","13709"
"211","26624","26624","26624","9500","9500","9500","23000","23000","23000","","","","","","","","","","","","","","",""
"212","26624","26624","26624","","","","23000","23000","23000","","","","","","","","","","","","","14000","14000","14000"
"213","26624","26624","26624","9500","9500","9500","23000","23000","23000","","","","","","","13333","13333","13333","","","","14000","14000","14000"
"214","27000","27000","27000","9500","9500","9500","23000","23000","23000","","","","10000","10000","10000","13333","13333","13333","","","","14000","14000","14000"
"215","27000","27000","27000","","","","23000","23000","23000","","","","","","","13333","13333","13333","11000","11000","11000","14000","14000","14000"
"216","27000","27000","27000","","","","23000","23000","23000","","","","","","","","","","","","","","",""
"217","27000","27000","27000","","","","23000","23000","23000","","","","","","","13333","13333","13333","","","","","",""
"218","27000","27000","27000","","","","23000","23000","23000","","","","","","","","","","11000","11000","11000","14309","14309","14309"
"219","27000","27000","27000","","","","23000","23000","23000","","","","","","","","","","","","","","",""
"220","27000","27000","27000","10000","10000","10000","23000","23000","23000","","","","10245","10245","10245","","","","11000","11000","11000","","",""
"221","27000","27000","27000","10000","10000","10000","23000","23000","23000","11000","11000","11000","","","","13862","13862","13862","","","","","",""
"222","27000","27000","27000","10000","10000","10000","23000","23000","23000","11000","11000","11000","","","","","","","11000","11000","11000","","",""
"223","27000","27000","27000","10000","10000","10000","24000","24000","24000","","","","","","","13862","13862","13862","","","","14309","14309","14309"
"224","28000","28000","28000","10000","10000","10000","24000","24000","24000","11087","11087","11087","","","","13862","13862","13862","11132","11132","11132","","",""
"225","28000","28000","28000","10000","10000","10000","24000","24000","24000","","","","","","","","","","","","","","",""
"226","28000","28000","28000","10000","10000","10000","24576","24576","24576","","","","","","","","","","11132","11132","11132","","",""
"227","28672","28672","28672","10000","10000","10000","24576","24576","24576","","","","","","","14000","14000","14000","","","","","",""
"228","28672","28672","28672","10000","10000","10000","24576","24576","24576","","","","","","","","","","","","","","",""
"229","28672","28672","28672","10000","10000","10000","24576","24576","24576","11087","11087","11087","10962","10962","10962","","","","","","","","",""
"230","28672","28672","28672","","","","25000","25000","25000","","","","","","","","","","11132","11132","11132","14976","14976","14976"
